label1,label2,distance
herbal,sweet,0.6213287333026752
onion,savory,0.6621247647691484
medicinal,smoky,0.8325992290558554
almond,bitter,0.8559166942614757
balsamic,honey,0.9500077231999132
alliaceous,onion,1.011364292211185
alliaceous,garlic,1.1322163225849342
geranium,rose,1.1658260358557242
apple,pineapple,1.2366436897150956
alcoholic,fermented,1.2535255874447917
aldehydic,citrus,1.2654743552028676
ethereal,fermented,1.267158313610867
fatty,oily,1.4431626387510894
almond,coumarinic,1.4795206893101829
aromatic,hawthorn,1.4931719582192224
garlic,onion,1.570356209651884
alliaceous,savory,1.6501856638149468
orange,waxy,1.6569713856236976
leathery,smoky,1.7732679361176633
anisic,aromatic,1.8017925864525202
meaty,roasted,1.8497362074820696
rose,violet,1.9082240907614145
cheesy,ripe,1.9283282380914302
garlic,savory,1.940421981413154
floral,rose,1.9681868534699518
bitter,coumarinic,1.9839560303538386
oily,waxy,2.0521029261014867
alcoholic,ethereal,2.097989100859455
camphoreous,spicy,2.100711067330173
banana,pineapple,2.2065656141805117
cinnamon,honey,2.207034420187942
hay,vanilla,2.210711398857799
fresh,jasmin,2.228724751995991
anisic,hawthorn,2.267799998620622
aromatic,hay,2.28353864080362
camphoreous,tobacco,2.29378175692357
floral,honey,2.3613637405195496
tobacco,vanilla,2.419133837487113
apple,banana,2.4234353824278836
fatty,waxy,2.429303778655931
meaty,sulfurous,2.4427906505427748
fruity,green,2.464143942499172
berry,cinnamon,2.5373569266944456
geranium,violet,2.538469961812403
cheesy,pungent,2.5477073570100477
floral,geranium,2.5710168220336405
leathery,medicinal,2.5880310237642883
alcoholic,ripe,2.598939045614956
leathery,phenolic,2.617877282903872
citrus,fresh,2.660587585408893
balsamic,powdery,2.6822088991390016
coumarinic,tobacco,2.6895815922241852
balsamic,floral,2.7621249552879594
aldehydic,waxy,2.775721932173714
balsamic,cinnamon,2.788400652978048
orris,violet,2.8288656931138623
aldehydic,orange,2.860830190651491
cucumber,melon,2.8873883152026023
fruity,winey,2.911700896257931
cinnamon,sweet,2.93654432538494
animal,camphoreous,2.9429313804360318
green,winey,2.9612656976552536
phenolic,smoky,2.976859340184841
cinnamon,herbal,3.0663181031661755
balsamic,woody,3.1130794005137714
coumarinic,vanilla,3.116798827969559
floral,fresh,3.1718348575287743
hawthorn,hay,3.205763823815161
floral,violet,3.2174509266657147
aromatic,vanilla,3.2201722730568796
fermented,ketonic,3.251267891334414
floral,herbal,3.2953607040719017
aldehydic,fresh,3.313302939781175
caramellic,solvent,3.323590252457676
medicinal,phenolic,3.324956250804033
fermented,ripe,3.3332162613041656
alliaceous,cooked,3.3521040289799457
berry,raspberry,3.3531346178569685
ethereal,ketonic,3.359043056593262
cooked,garlic,3.3821146087954883
anisic,cherry,3.394075563154412
savory,sulfurous,3.4108410826193634
coumarinic,hay,3.4123320652910825
aldehydic,oily,3.4125380510224024
honey,powdery,3.4145429184475424
balsamic,spicy,3.448433565105087
roasted,sulfurous,3.44944261108672
nutty,roasted,3.4762278678815126
anisic,hay,3.4783583723970897
powdery,woody,3.505879065291759
coumarinic,spicy,3.5123658159478457
almond,cherry,3.5126957970888166
oily,orange,3.515851886211463
honey,sweet,3.5408306272026033
ethereal,ripe,3.5413056581423077
fresh,rose,3.5650219063438775
camphoreous,coumarinic,3.5716248238608173
herbal,honey,3.5810939189809514
caramellic,ketonic,3.588269961093732
meaty,savory,3.598410942947465
floral,sweet,3.598897006569338
pungent,ripe,3.629346884987072
melon,pear,3.6314060797882606
powdery,spicy,3.654778899855166
apple,winey,3.680223084172656
spicy,tobacco,3.687815006325643
cinnamon,raspberry,3.704947129641839
balsamic,sweet,3.7111009915176276
floral,jasmin,3.7139021138566943
pungent,sulfurous,3.720021913667785
almond,hay,3.7240092296098446
spicy,sweet,3.747482864827959
alcoholic,cheesy,3.7559890922861974
cinnamon,floral,3.762853191526999
fresh,herbal,3.802485458669465
cucumber,oily,3.8278653385884827
citrus,geranium,3.8444028872810962
balsamic,herbal,3.8596482662377585
fresh,geranium,3.866595197195613
honey,rose,3.8822562748256644
honey,raspberry,3.9086665745944194
onion,sulfurous,3.920475771092348
berry,herbal,3.9255546433449027
citrus,waxy,3.9332139863657885
pear,pineapple,3.934092561572489
berry,honey,3.9351057814917043
honey,woody,3.947056843764343
cherry,hay,3.9487055576009396
fatty,orange,3.983534700722865
cinnamon,spicy,4.007070939045663
honey,spicy,4.038759282913265
apple,pear,4.050197872632134
pungent,roasted,4.062965969058818
nutty,pungent,4.069830748480842
spicy,woody,4.07461229981457
animal,woody,4.074703656241974
herbal,jasmin,4.0760359851958015
citrus,orange,4.080413729957571
pineapple,winey,4.082482498531011
cherry,coumarinic,4.098967131083894
cucumber,waxy,4.140983109850614
almond,tobacco,4.142102576647951
berry,sweet,4.15045198480768
jasmin,rose,4.161286830974331
melon,winey,4.16166961788032
aromatic,cherry,4.173486864376343
balsamic,rose,4.187702196760457
almond,vanilla,4.191436238976069
bitter,cherry,4.197167228275633
orris,rose,4.2124242768251285
nutty,ripe,4.216566919529495
meaty,onion,4.226934559304537
floral,woody,4.23021508389769
citrus,rose,4.246685359021662
honey,violet,4.247840661457663
cucumber,fatty,4.253812806454501
cucumber,orange,4.262388811152972
hay,tobacco,4.263019728483851
anisic,vanilla,4.2664361713357595
geranium,orris,4.276868286423004
citrus,oily,4.289832813755654
geranium,honey,4.307883080052302
fresh,sweet,4.308441081644285
herbal,spicy,4.31154755618604
cooked,onion,4.334128947890619
anisic,powdery,4.33603151861322
fresh,green,4.336484345020261
geranium,woody,4.337309531258172
alcoholic,ketonic,4.357030740674155
balsamic,geranium,4.362420360426162
animal,spicy,4.365371652801765
cherry,hawthorn,4.366437427342354
cheesy,ethereal,4.368697195805898
green,jasmin,4.374516336345625
dry,woody,4.390481884508258
berry,floral,4.413365214208624
camphoreous,vanilla,4.422718686367175
almond,spicy,4.452720042116463
bitter,hay,4.459917011925705
bitter,tobacco,4.49670022233729
phenolic,tobacco,4.516127886786218
animal,tobacco,4.516440776663879
pear,winey,4.516803903409738
cheesy,fermented,4.546601205515355
animal,dry,4.554409214416179
aldehydic,fatty,4.568820768940042
nutty,solvent,4.579629854566553
hawthorn,vanilla,4.614188845136352
honey,orris,4.626782921492593
citrus,jasmin,4.629243962163746
phenolic,vanilla,4.636284070977923
apple,fruity,4.653778858342833
cinnamon,powdery,4.6587791283421645
balsamic,violet,4.664756586963936
camphoreous,woody,4.685074112048651
balsamic,raspberry,4.686637027994271
jasmin,sweet,4.693619274597607
meaty,pungent,4.702376001536965
balsamic,orris,4.718485255251805
citrus,floral,4.720730033877803
green,oily,4.7524204416822755
camphoreous,powdery,4.764412457592885
bitter,spicy,4.783325063306796
balsamic,berry,4.807881792447926
bitter,vanilla,4.812278707057996
aromatic,coumarinic,4.846588225112984
caramellic,ripe,4.8467584072049785
burnt,roasted,4.8748084639113
berry,jasmin,4.877942812848459
alliaceous,sulfurous,4.88448801575923
fishy,odorless,4.886840424128675
almond,camphoreous,4.899712549454604
floral,orris,4.9075025980054185
rose,woody,4.939158159276159
cooked,savory,4.94166134742932
anisic,coumarinic,4.961197802673029
geranium,jasmin,4.964029801360116
aldehydic,geranium,4.983246360740427
cheesy,nutty,5.007635757915153
aldehydic,jasmin,5.017498900419629
cherry,cinnamon,5.024100187080767
animal,metallic,5.031079779996349
caramellic,fermented,5.035693562217589
burnt,nutty,5.039036979757471
garlic,meaty,5.045110471450919
raspberry,violet,5.096477060895451
meaty,nutty,5.099453470233867
green,herbal,5.101637502714134
spicy,vanilla,5.123410857973744
floral,raspberry,5.13959824906282
bitter,camphoreous,5.147382154149982
alliaceous,meaty,5.1507654110373915
herbal,rose,5.157659586318397
orris,powdery,5.173644161724426
fruity,herbal,5.1747060896203445
orris,raspberry,5.175651330746287
caramellic,nutty,5.185812912836649
burnt,solvent,5.185883445678778
fresh,oily,5.192684330737453
sweet,woody,5.209269113253137
aromatic,tobacco,5.222424257287545
fruity,jasmin,5.224604185378812
balsamic,camphoreous,5.232569905015906
caramellic,ethereal,5.2636258465078285
aldehydic,rose,5.300855627674781
garlic,sulfurous,5.3090255736879
fresh,honey,5.323389828546245
floral,powdery,5.326025251815132
almond,aromatic,5.336168976134342
fresh,violet,5.351472710057137
almond,anisic,5.364571702825274
cherry,vanilla,5.3773973955825625
cucumber,green,5.388781653631308
aldehydic,cucumber,5.391582204647937
alcoholic,fruity,5.39368330754449
herbal,woody,5.400223609457241
camphoreous,sweet,5.412470433469231
roasted,savory,5.4189853402159
green,melon,5.419806645834953
jasmin,violet,5.4240175208104855
ketonic,ripe,5.431746005092005
fermented,fruity,5.438221216476302
cheesy,sulfurous,5.448869480169209
alcoholic,caramellic,5.465563419274159
cherry,spicy,5.476950522255566
citrus,fatty,5.48872975075436
fruity,sweet,5.4939419235972435
burnt,fishy,5.4975108303086415
fruity,pineapple,5.500492116606728
green,sweet,5.500809121139018
floral,spicy,5.501565048493216
rose,sweet,5.5099715203815425
anisic,spicy,5.525263566413134
nutty,sulfurous,5.541194309034467
cinnamon,rose,5.5478274390149895
aromatic,powdery,5.589125358214965
balsamic,fresh,5.59521363472547
cucumber,winey,5.608471619009411
honey,jasmin,5.6223467936550495
geranium,herbal,5.628642897488193
anisic,tobacco,5.6543941901201
fresh,waxy,5.664939710395481
cinnamon,woody,5.68058858959373
animal,powdery,5.702251812687707
orris,woody,5.727934678100861
powdery,tobacco,5.73124612397229
banana,pear,5.777344969576981
cinnamon,jasmin,5.78501620020175
aldehydic,green,5.807287910547684
berry,rose,5.81994170092076
aldehydic,floral,5.825304496933743
fatty,green,5.8516680918965776
violet,woody,5.880992095472937
fresh,fruity,5.88320543012778
powdery,raspberry,5.897783713097328
alcoholic,winey,5.905561102403059
banana,winey,5.906627398658396
burnt,odorless,5.908851286818192
geranium,sweet,5.912528830781554
powdery,sweet,5.9133668319120885
fresh,orange,5.917902286370121
raspberry,rose,5.918876663505627
almond,cinnamon,5.927118802092033
cinnamon,violet,5.931515211346947
cinnamon,coumarinic,5.938796683936987
citrus,green,5.953330904046664
camphoreous,honey,5.963721307792283
coumarinic,powdery,5.968813897005687
camphoreous,hay,5.976492951826811
camphoreous,herbal,5.984727565502781
fresh,woody,5.995905789669405
berry,violet,5.997427824270957
cherry,powdery,6.003038124157838
hay,spicy,6.009201773077129
citrus,herbal,6.012822602997066
coumarinic,hawthorn,6.020206738103371
cinnamon,fresh,6.030446618754503
citrus,violet,6.044722447504365
berry,fresh,6.050404797389205
onion,roasted,6.056349948218487
powdery,vanilla,6.062597506206535
alcoholic,pungent,6.063393157805406
citrus,woody,6.073574720154176
camphoreous,cinnamon,6.105228658763019
melon,oily,6.120906668600073
anisic,balsamic,6.1209151621367575
apple,green,6.156070495293143
aromatic,bitter,6.172143701189568
camphoreous,phenolic,6.182535556012626
cinnamon,geranium,6.184814124347554
anisic,cinnamon,6.211145081912247
balsamic,jasmin,6.2143348010272685
anisic,bitter,6.216059628038383
metallic,oily,6.221053651150158
geranium,powdery,6.229277096304282
herbal,powdery,6.22947113574599
metallic,woody,6.23197345954278
bitter,cinnamon,6.234034535899016
coumarinic,sweet,6.23571670851712
almond,hawthorn,6.236272644298816
cheesy,roasted,6.238970867240902
animal,balsamic,6.245304076816264
cherry,tobacco,6.24625576941573
aromatic,spicy,6.250300092297087
herbal,raspberry,6.261777068313414
camphoreous,metallic,6.266493062486376
fermented,winey,6.296662622926085
apple,melon,6.30068185502623
anisic,camphoreous,6.311378806292952
cherry,raspberry,6.3236037891989865
powdery,rose,6.3409423056399286
raspberry,sweet,6.358703142144151
burnt,meaty,6.374322558634353
citrus,sweet,6.3818525559080115
cherry,honey,6.384533815626845
citrus,metallic,6.3898264324845435
green,waxy,6.39879098208413
powdery,violet,6.398893775811306
alcoholic,green,6.413695549467612
bitter,sweet,6.425441935222724
almond,sweet,6.4267103786189494
herbal,violet,6.427335001109641
balsamic,cherry,6.429779745583063
anisic,honey,6.431179790567747
melon,pineapple,6.447633005524202
berry,spicy,6.453994807226311
leathery,tobacco,6.472186134637493
animal,coumarinic,6.475995119151317
citrus,cucumber,6.481355857260849
jasmin,winey,6.484246773708595
caramellic,cheesy,6.484676437628819
balsamic,coumarinic,6.487920813807808
banana,fruity,6.488981708446777
ripe,sulfurous,6.495478530831295
ripe,roasted,6.496741277723435
aromatic,camphoreous,6.499250242631935
hawthorn,powdery,6.500461438206917
alcoholic,nutty,6.504880714563296
cucumber,pear,6.5075278660160985
cinnamon,orris,6.5125518440277945
ripe,solvent,6.517247964936416
oily,winey,6.5180574257116435
berry,cherry,6.522885293814451
ethereal,fruity,6.5281838430707815
animal,phenolic,6.53505487138921
ethereal,pungent,6.539552972540541
animal,vanilla,6.54045630858186
fatty,metallic,6.555057813854246
hay,phenolic,6.592859444124339
jasmin,oily,6.5967314722675185
fruity,melon,6.603274185231284
fatty,melon,6.609229568665614
metallic,sweet,6.609727934730037
fatty,fresh,6.611876244171404
dry,powdery,6.6264712541595765
tobacco,woody,6.644194217583942
hawthorn,tobacco,6.68305847357806
hay,powdery,6.683259427838716
cucumber,fresh,6.685872074615683
camphoreous,cherry,6.72591669134466
sweet,violet,6.737854860881132
fermented,pungent,6.759555240809746
bitter,caramellic,6.767175678173591
herbal,metallic,6.776468121229529
geranium,raspberry,6.782111315346165
apple,fermented,6.786318359479074
berry,geranium,6.791425753354678
ketonic,solvent,6.804240892663743
metallic,spicy,6.813041408384809
