label1,label2,distance
geranium,violet,0.5534091409630794
citrus,woody,0.7249191303004375
balsamic,floral,0.7907027976488985
aldehydic,woody,0.8934378493929004
aldehydic,citrus,0.9029660997867391
geranium,orris,0.9040300534128505
anisic,vanilla,0.9488898285961666
cucumber,oily,1.0120946837881983
orris,violet,1.0702137275473889
caramellic,ethereal,1.1488178947784884
alliaceous,onion,1.4078243112923063
geranium,rose,1.4207707650494243
garlic,onion,1.5621623135336642
anisic,aromatic,1.6013105811227908
meaty,sulfurous,1.6511652317472825
rose,violet,1.691389661417151
powdery,rose,1.796387313164227
floral,rose,1.81841903817824
camphoreous,metallic,1.8232675081991023
caramellic,fermented,1.8257132369980198
geranium,powdery,1.8346275886409513
ethereal,fermented,1.9645623833394545
orris,rose,1.9932891280750058
cinnamon,raspberry,2.014058642126284
powdery,violet,2.111089767240802
apple,pineapple,2.189780348443336
alcoholic,fermented,2.2210426660533265
meaty,savory,2.238376397892278
balsamic,powdery,2.253796107269399
herbal,sweet,2.2549021113403986
floral,powdery,2.3006694847881626
banana,pineapple,2.3031732726441256
balsamic,rose,2.3350735837613747
spicy,sweet,2.3449531355828976
aromatic,vanilla,2.349019514930272
green,herbal,2.3704870333701535
pungent,ripe,2.3788261145504306
animal,metallic,2.3932151212014787
aldehydic,animal,2.415406621649923
nutty,roasted,2.419377616474498
fatty,oily,2.427356201114051
animal,citrus,2.4507335209027774
animal,fresh,2.451288963839265
alliaceous,savory,2.461801014354371
alliaceous,garlic,2.5454841123014247
ethereal,ketonic,2.548919553117327
herbal,spicy,2.577457888396144
almond,berry,2.579327055138006
medicinal,smoky,2.5959621731485267
bitter,hay,2.605249403416819
fruity,winey,2.634201150384972
cucumber,fresh,2.6440013244425846
citrus,waxy,2.6720211619018484
orris,powdery,2.6778482862206534
metallic,tobacco,2.69639544316875
apple,banana,2.709721893274476
fatty,waxy,2.7341204933066465
balsamic,honey,2.734157064353023
honey,raspberry,2.76910882521445
waxy,woody,2.8126337553275924
honey,powdery,2.9306896402365044
onion,savory,2.9414362731709165
fresh,herbal,2.9457096460299157
honey,vanilla,2.9540682011681776
coumarinic,sweet,3.0011193234348474
animal,woody,3.0183650159427873
oily,waxy,3.019898687903183
floral,geranium,3.0422315607008907
green,melon,3.0505398518769
cheesy,solvent,3.0969399376077114
aldehydic,waxy,3.097477999596936
anisic,honey,3.1115278931052526
floral,honey,3.1437837158795268
